recv_ts_ms,latency_ms
1755109183324,36.85
1755109183705,-26.42
1755109183705,-30.59
1755109184138,-26.02
1755109184142,-25.42
1755109184576,-29.44
1755109184581,-28.59
1755109185061,17.25
1755109185061,13.68
1755109185449,-29.37
1755109185453,-30.16
1755109185889,-29.88
1755109185893,-28.81
1755109186331,-28.77
1755109186333,-29.46
1755109186770,-29.30
1755109186772,-30.73
1755109187313,78.74
1755109187314,75.22
1755109187639,-29.46
1755109187642,-30.59
1755109188133,31.87
1755109188133,28.31
1755109188541,-7.42
1755109188545,-7.00
1755109189054,70.46
1755109189054,66.69
1755109189391,-29.43
1755109189394,-30.54
1755109189823,-29.55
1755109189828,-27.59
1755109190260,-28.33
1755109190264,-27.77
1755109190724,-28.28
1755109190726,-28.95
1755109191160,-28.97
1755109191164,-29.32
1755109191604,-26.69
1755109191608,-27.07
1755109192033,-28.53
1755109192038,-28.72
1755109192487,-28.47
1755109192489,-29.54
1755109192918,-29.46
1755109192921,-30.16
1755109193352,-28.90
1755109193355,-30.04
1755109193785,-29.92
1755109193789,-29.44
1755109194276,23.05
1755109194276,19.33
1755109194660,-28.12
1755109194663,-28.12
1755109195094,-28.81
1755109195097,-30.61
1755109195608,18.63
1755109195608,14.83
1755109195993,-29.70
1755109195997,-29.66
1755109196434,-28.69
1755109196439,-28.80
1755109196870,-29.59
1755109196874,-29.66
1755109197305,-28.33
1755109197307,-29.31
1755109197750,-29.18
1755109197752,-29.92
1755109198182,-28.45
1755109198185,-29.32
1755109198622,-28.36
1755109198624,-29.65
1755109199066,-28.54
1755109199070,-27.77
1755109199497,-29.47
1755109199501,-29.33
1755109199935,-29.46
1755109199938,-30.42
1755109200367,-30.27
1755109200371,-30.51
1755109200935,63.91
1755109200935,60.40
1755109201282,-24.12
1755109201287,-22.14
1755109201715,-29.06
1755109201718,-30.41
1755109202265,75.04
1755109202265,71.09
1755109202595,-29.50
1755109202599,-29.18
1755109203029,-29.26
1755109203034,-28.46
1755109203492,0.62
1755109203496,1.04
1755109204007,81.43
1755109204007,78.28
1755109204415,55.02
1755109204415,51.44
1755109204762,-29.34
1755109204767,-28.88
1755109205233,-2.35
1755109205241,2.44
1755109205651,-28.66
1755109205658,-27.00
1755109206107,-29.63
1755109206110,-30.55
1755109206545,-29.32
1755109206548,-30.24
1755109206981,-29.01
1755109206985,-29.40
1755109207425,-29.19
1755109207428,-29.87
1755109207863,-29.60
1755109207866,-29.50
1755109208379,43.52
1755109208379,39.94
1755109208756,-19.06
1755109208759,-19.07
1755109209200,-9.37
1755109209204,-9.12
1755109209614,-29.82
1755109209618,-29.62
1755109210052,-29.50
1755109210056,-30.10
1755109210489,-27.82
1755109210493,-28.17
1755109210920,-29.33
1755109210925,-28.28
1755109211355,-29.81
1755109211359,-29.89
1755109211792,-28.23
1755109211796,-27.93
1755109212232,-24.84
1755109212232,-29.46
1755109212674,-27.70
1755109212677,-28.04
1755109213110,-29.24
1755109213114,-28.79
1755109213548,-29.00
1755109213551,-30.82
1755109213989,-28.93
1755109213992,-30.67
1755109214449,-2.25
1755109214450,-5.95
1755109214908,19.70
1755109214908,15.48
1755109215372,42.53
1755109215372,37.74
1755109215780,-0.10
1755109215788,2.90
1755109216212,-29.20
1755109216216,-28.64
1755109216702,14.29
1755109216702,11.51
1755109217094,-29.06
1755109217097,-28.92
1755109217541,-28.94
1755109217544,-29.26
1755109217979,-26.74
1755109217982,-27.16
1755109218423,-28.22
1755109218426,-28.71
1755109218956,70.92
1755109218956,65.88
1755109219296,-26.74
1755109219299,-27.99
1755109219774,11.37
1755109219776,9.34
1755109220183,-28.18
1755109220187,-27.73
1755109220612,-29.92
1755109220617,-29.29
1755109221074,-28.23
