ts_ms,entropy,corr_h,corr_v,lap_var
1755187942017,5.1492,0.9996,0.9997,0.62
1755187942512,5.1450,0.9996,0.9997,0.62
1755187942517,5.1522,0.9996,0.9997,0.62
1755187942854,5.1522,0.9996,0.9997,0.62
1755187942858,5.1493,0.9996,0.9997,0.63
1755187943293,5.1493,0.9996,0.9997,0.63
1755187943297,5.1460,0.9996,0.9997,0.59
1755187943740,5.1460,0.9996,0.9997,0.59
1755187943745,5.1360,0.9996,0.9997,0.62
1755187944177,5.1360,0.9996,0.9997,0.62
1755187944182,5.3602,0.9991,0.9984,1.63
1755187944618,5.3602,0.9991,0.9984,1.63
1755187944622,5.6685,0.9982,0.9984,5.78
1755187945067,5.7121,0.7173,0.7201,3424.25
1755187945072,5.5937,0.6716,0.6723,3394.76
1755187945585,5.2488,0.9987,0.9980,2.33
1755187945590,5.2587,0.9987,0.9974,2.76
1755187945948,5.2587,0.9987,0.9974,2.76
1755187945953,5.4450,0.9980,0.9986,4.02
1755187946392,5.4687,0.8278,0.8234,1735.72
1755187946402,5.8465,0.9131,0.9155,1655.28
1755187946848,5.8392,0.7125,0.7130,4310.94
1755187946853,6.0502,0.8437,0.8403,4439.20
1755187947329,6.0589,0.8308,0.8246,4542.22
1755187947335,6.1716,0.8817,0.8814,4438.11
1755187947779,6.2029,0.8489,0.8470,5426.31
1755187947785,6.2359,0.8634,0.8596,5445.26
1755187948223,6.2570,0.8498,0.8469,5829.71
1755187948228,6.2420,0.8451,0.8412,5837.63
1755187948666,6.2386,0.8559,0.8552,5486.70
1755187948671,6.1876,0.8486,0.8481,5498.44
1755187949110,6.1458,0.8582,0.8562,5105.43
1755187949116,6.1562,0.8602,0.8549,5028.21
1755187949549,6.1611,0.8664,0.8614,4849.60
1755187949556,6.1635,0.8661,0.8600,5013.04
1755187950004,6.1328,0.8585,0.8558,4931.33
1755187950011,6.1419,0.8506,0.8485,4992.72
1755187950448,6.1471,0.8551,0.8492,4903.83
1755187950455,6.1282,0.8527,0.8505,4846.73
1755187950889,6.0942,0.8465,0.8421,4911.55
1755187950901,6.0731,0.8454,0.8414,4932.42
1755187951337,6.0558,0.8442,0.8401,4841.89
1755187951344,6.0636,0.8367,0.8344,4812.34
1755187951779,6.0697,0.8412,0.8365,4836.65
1755187951784,6.0903,0.8409,0.8378,4846.05
1755187952226,6.0792,0.8325,0.8304,4856.94
1755187952231,6.0501,0.8058,0.8049,4922.34
1755187952702,6.0041,0.8356,0.8359,3992.05
1755187952707,6.0720,0.8029,0.8000,3958.73
1755187953132,5.9623,0.9972,0.9972,11.18
1755187953137,5.8985,0.9975,0.9975,7.61
1755187953574,5.8985,0.9975,0.9975,7.61
1755187953578,5.8350,0.9969,0.9976,6.44
1755187954023,5.8350,0.9969,0.9976,6.44
1755187954028,5.7815,0.9964,0.9973,7.78
1755187954462,5.8102,0.7243,0.7177,3293.55
1755187954465,5.7518,0.6448,0.6545,3410.34
1755187954898,5.7275,0.9954,0.9972,8.58
1755187954902,5.7911,0.9968,0.9969,12.46
1755187955341,5.7911,0.9968,0.9969,12.46
1755187955345,5.9820,0.9976,0.9970,9.69
1755187955776,5.9820,0.9976,0.9970,9.69
1755187955780,6.1049,0.9980,0.9981,6.77
1755187956217,6.1663,0.8406,0.8381,3849.36
1755187956223,6.2955,0.8730,0.8698,3804.07
1755187956667,6.2452,0.7363,0.7356,6001.19
1755187956672,6.2833,0.7755,0.7722,6160.15
1755187957110,6.1308,0.7801,0.7777,5144.58
