ts_ms,entropy,corr_h,corr_v,lap_var
1755187733523,5.1617,0.9996,0.9997,0.64
1755187733948,5.1677,0.9996,0.9997,0.65
1755187733952,5.1677,0.9996,0.9997,0.65
1755187734382,5.1568,0.9996,0.9997,0.64
1755187734387,5.1568,0.9996,0.9997,0.64
1755187734840,5.1637,0.9996,0.9997,0.64
1755187734844,5.1637,0.9996,0.9997,0.64
1755187735260,5.1579,0.9996,0.9997,0.63
1755187735265,5.1579,0.9996,0.9997,0.63
1755187735762,5.1571,0.9996,0.9997,0.63
1755187735767,5.1571,0.9996,0.9997,0.63
1755187736142,5.1566,0.9996,0.9997,0.62
1755187736147,5.1566,0.9996,0.9997,0.62
1755187736583,5.1546,0.9996,0.9997,0.64
1755187736588,5.1546,0.9996,0.9997,0.64
1755187737093,5.1524,0.9996,0.9997,0.62
1755187737098,5.1524,0.9996,0.9997,0.62
1755187737505,5.1504,0.9996,0.9997,0.62
1755187737510,5.1504,0.9996,0.9997,0.62
1755187738015,5.1439,0.9996,0.9997,0.64
1755187738019,5.1439,0.9996,0.9997,0.64
1755187738425,5.1358,0.9996,0.9997,0.63
1755187738430,5.1358,0.9996,0.9997,0.63
1755187738804,5.1449,0.9996,0.9997,0.62
1755187738809,5.1449,0.9996,0.9997,0.62
1755187739251,5.1520,0.9996,0.9997,0.63
1755187739255,5.1520,0.9996,0.9997,0.63
1755187739757,5.6594,0.9821,0.9827,160.62
1755187739761,5.6594,0.9821,0.9827,160.62
1755187740139,5.7397,0.9833,0.9865,153.51
1755187740142,5.7397,0.9833,0.9865,153.51
1755187740579,5.9468,0.9854,0.9883,166.68
1755187740583,5.9468,0.9854,0.9883,166.68
1755187741022,6.2787,0.9896,0.9906,168.11
1755187741026,6.2787,0.9896,0.9906,168.11
1755187741473,6.2526,0.9912,0.9924,167.36
1755187741476,6.2526,0.9912,0.9924,167.36
1755187741916,6.1943,0.9917,0.9930,167.73
1755187741921,6.1943,0.9917,0.9930,167.73
1755187742383,6.2099,0.9913,0.9924,184.19
1755187742387,6.2099,0.9913,0.9924,184.19
1755187742931,6.1692,0.9907,0.9923,193.42
1755187742935,6.1692,0.9907,0.9923,193.42
1755187743341,6.1460,0.9909,0.9920,182.28
1755187743344,6.1460,0.9909,0.9920,182.28
1755187743749,6.1182,0.9911,0.9920,178.38
1755187743755,6.1182,0.9911,0.9920,178.38
1755187744159,6.1505,0.9912,0.9925,172.97
1755187744163,6.1505,0.9912,0.9925,172.97
1755187744674,6.1594,0.9907,0.9922,186.69
1755187744679,6.1594,0.9907,0.9922,186.69
1755187745082,6.1461,0.9908,0.9921,180.76
